,ObjectId,Country,Technology,Energy_Type,Unit,CTS_Full_Descriptor,F2000,F2003,F2005,F2007,F2009,F2010,F2012,F2014,F2016,F2018,F2020,F2021,F2023
51,52,Americas,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",1196968.616,1200683.985,1284124.717,1315842.217,1363614.122,1345294.754,1413660.846,1364663.779,1367854.502,1432280.677,1398119.862,1342415.475,49763.19554529796
52,53,Americas,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",269509.824,281343.392,288564.548,299174.635,303357.764,310704.153,317517.571,326473.268,347180.534,357900.737,364166.864,365745.845,368784.204
53,54,Americas,Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",727.517,874.396,1154.369,1720.792,2666.95,4314.504,11489.602,29367.368,59063.849,103270.123,159240.383,207431.758,49763.19554529796
54,55,Americas,Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",612.005,707.522,926.183,1488.647,2229.268,3739.363,9921.004,21142.846,41831.814,66078.397,104221.53,134379.79,210158.364
55,56,Americas,Wind energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",6170.804,12628.882,20045.982,39070.742,83560.412,108573.902,165113.819,231482.937,315964.013,387969.049,482465.404,545886.654,49763.19554529796
56,57,Americas,Wind energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",2577.7,6466.956,9568.776,18879.581,39091.924,45314.218,70521.862,84149.461,111934.845,132522.749,165368.268,185939.267,214306.944
57,58,"Andorra, Principality of",Bioenergy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,1.0,19.0,19.0,12.7,11.676,13.392,14.161,20.511,19.833,16.897,49763.19554529796
58,59,"Andorra, Principality of",Bioenergy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
59,60,"Andorra, Principality of",Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,84261.38771685425,0.902,5.072,3.817,6.993,49763.19554529796
60,61,"Andorra, Principality of",Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,84261.38771685425,2.0,1.7,1.7,1.7,1.7
61,62,"Andorra, Principality of",Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",80.0,80.0,84.0,57.0,62.0,100.0,76.182,113.416,84.355,114.358,121.398,78.827,49763.19554529796
62,63,"Andorra, Principality of",Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",30.0,30.0,30.0,30.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
63,64,"Andorra, Principality of",Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,0.199,0.261,0.561,0.938,1.259,49763.19554529796
64,65,"Andorra, Principality of",Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,0.186,0.244,1.09,3.084,4.352,4.352
65,66,Angola,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,36.0,155.0,200.0,200.0,200.0,49763.19554529796
66,67,Angola,Bioenergy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,51.0,51.0,51.0,51.0,51.0,51.0
67,68,Angola,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",303.649,427.866,260.154,470.655,1102.322,1241.107,2849.618,5569.787,5810.799,4412.673,3391.013,4922.602,49763.19554529796
68,69,Angola,Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",149.6,197.6,199.6,230.616,232.716,388.716,831.516,1318.716,1384.716,2337.056,2357.056,2357.056,2357.056
69,70,Angola,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",900.29,1230.578,2200.298,2880.211,3335.601,3685.589,3839.829,5039.928,6286.126,11322.922,13801.672,13801.672,49763.19554529796
70,71,Angola,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",235.579,235.579,495.579,755.579,787.579,787.579,873.179,969.179,1700.439,3061.279,3729.279,3729.279,3729.279
71,72,Angola,Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,0.455,0.466,0.62,1.95,2.047,49763.19554529796
72,73,Angola,Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,0.32,0.328,0.437,1.374,1.441,310.46
73,74,Anguilla,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",45.8,58.388,72.041,88.999,91.223,98.569,89.475,89.503,102.024,100.515,105.812,105.812,49763.19554529796
74,75,Anguilla,Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",11.425,17.717,19.317,27.117,27.117,27.117,27.117,27.117,27.117,23.8,23.8,23.8,23.8
75,76,Anguilla,Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,0.08,0.901,2.473,2.039,3.815,3.815,49763.19554529796
76,77,Anguilla,Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,0.062,1.172,2.272,1.172,1.542,1.542,1.542
77,78,Antigua and Barbuda,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",150.0,211.0,243.0,285.4,327.4,329.5,330.0,336.0,344.0,352.378,326.159,336.216,49763.19554529796
